price,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,log_momentum,fft,absolute,angle,gs,meta,msft,spx,gbpusd,usdjpy
228.2,,,228.2,228.2,0.0,,,,228.2,227.2,,(227891.9425+0j),227891.9425,0.0,99.39,561.35,435.27,5702.55,1.332,143.91
228.87,,,228.54788461538462,228.56291666666664,0.01503205128202012,,,,228.7025,227.87,0.0029317193422725117,(25162.256188597334-89838.64551953832j),93295.88075197031,-1.2977108779381599,99.16,559.1,438.69,5713.64,1.3293,142.16
220.69,,,225.72462296697879,225.49011547344108,-0.2345074935377056,,,,223.1553846153846,219.69,-0.0363951549101792,(-4253.947619268265-28123.12321241989j),28443.033058526453,-1.7209198495148572,99.25,537.95,430.81,5618.26,1.3213,142.98
216.79,,,223.226892824679,222.74382902298848,-0.48306380169051977,,,,218.85875000000001,215.79,-0.017829858819643836,(13978.244860700273-21846.36085139852j),25935.589675872252,-1.0015943995126224,99.14,536.315,435.15,5634.58,1.3163,141.41
216.32,,,221.62515589047325,220.99849763605746,-0.626658254415787,,,,217.15925619834712,215.32,-0.0021703501858254845,(287.82429741556984-19654.933779723266j),19657.041097568308,-1.556153503302041,99.14,533.28,431.34,5633.09,1.3205,140.56
222.5,,,221.80038018810515,221.36344170424132,-0.43693848386382683,,,,220.72464285714287,221.5,0.02816830875169574,(-555.6823732356834-15340.116628921183j),15350.177884598896,-1.6070046245989034,98.64,524.62,430.59,5626.02,1.3123,140.83
222.77,222.30571428571426,,221.9728220452748,221.6773102667679,-0.29551177850689214,,,,222.0888380603843,221.77,0.0012127474704877446,(-3080.6336309599383-9269.316552846642j),9767.831536481277,-1.89165931530641,98.66,525.6,427.0,5595.76,1.3148,141.03
222.66,221.5142857142857,,222.08354344090023,221.88238246779224,-0.20116097310798864,,,,222.46967073170737,221.66,-0.0004939047762214172,(2156.192484130102-6223.150521744495j),6586.104193292718,-1.2372614756353348,98.52,511.83,423.04,5554.13,1.3042,142.61
220.11,220.26285714285717,,221.79102097788393,221.53174213129967,-0.2592788465842659,,,,220.89647698404636,219.11,-0.011518522906548588,(6409.771132468631-9057.797911008513j),11096.344847169195,-0.9549530612822957,98.37,504.79,414.2,5495.52,1.3095,141.37
220.91,220.2942857142857,,221.66944865763816,221.41392223905495,-0.2555264185832016,,,,220.90549248069368,219.91,0.0036279573600808395,(44.99210675322652-10191.316142475547j),10191.41545642963,-1.566381606082797,98.37,504.79,405.72,5471.05,1.3073,143.24
